Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
CurvaFix,7/14/2023,"$39,000,000",,Series C,MVN Partners,https://www.geekwire.com/2023/curvafix-raises-39m-aims-to-improve-pelvic-fracture-treatment-with-curved-surgical-device/
Tangibly,7/13/2023,"$6,500,000",,Seed,Madrona Venture Group,https://www.geekwire.com/2023/tangibly-a-seattle-startup-that-uses-ai-to-help-companies-protect-trade-secrets-raises-6-5m/
Jirav,7/12/2023,"$20,000,000",,Series B,Born Capital,https://www.geekwire.com/2023/financial-budgeting-and-analytics-platform-jirav-raises-20m/
Litehouse Health,7/1/2023,"$3,500,000",,Seed,Kick-Start Seed Fund,https://www.spokanejournal.com/articles/15542-spokane-startup-litehouse-health-aims-to-address-nursing-shortage
FloraWorks,6/28/2023,"$2,250,000","$5,500,000",Series A,,https://www.bizjournals.com/portland/inno/stories/news/2023/06/28/floraworks-sleep-study-science-cbn.html?utm_source=st&utm_medium=en&utm_campaign=inno&ana=e_n&utm_content=po
Heard,6/23/2023,"$15,000,000","$26,300,000",Series A,Headline ,https://www.geekwire.com/2023/heard-raises-15m-to-expand-its-financial-tech-tools-for-mental-health-professionals/
AltPep,6/22/2023,"$52,900,000",,Series B,Senator Investment Group,https://www.geekwire.com/2023/biotech-startup-developing-tests-and-treatments-for-alzheimers-and-parkinsons-disease-raises-52-9m/
RealWear,6/1/2022,"$23,500,000",,Series C,Foundry Group,https://www.geekwire.com/2022/realwear-which-builds-head-mounted-headsets-for-frontline-workers-lands-23-5m/
Big Whale Labs,6/1/2022,"$3,800,000","$4,400,000",Seed,M13 and Road,https://www.vantechjournal.com/p/big-whale-labs-seed-funding?s=w
ZenLedger,5/25/2022,"$15,000,000","$27,000,000",Series B,ParaFi Capital,https://www.geekwire.com/2022/crypto-tax-startup-zenledger-used-by-the-irs-raises-15m/
Grist Analytics,5/20/2022,"$200,000",,,,https://www.geekwire.com/2022/make-better-beer-brewery-analytics-startup-wins-top-prize-at-seattle-angel-conference-competition/
Included,5/19/2022,"$3,500,000","$5,400,000",Seed,Trilogy Equity Partners,https://www.geekwire.com/2022/data-for-dei-included-lands-3-5m-to-fuel-software-that-helps-companies-analyze-diversity-trends/
TheWMarketplace,5/19/2022,"$1,400,000","$1,900,000",,Erika McKitterick,https://www.geekwire.com/2022/how-a-wonder-women-party-and-an-amazon-vet-helped-this-e-commerce-startup-raise-fresh-funds/
Arrived Homes,5/17/2022,"$25,000,000",,Series A,Forerunner Ventures,https://www.geekwire.com/2022/rental-property-investment-startup-arrived-homes-raises-25m-to-fund-further-expansion/
Inflection.io,5/17/2022,"$5,000,000","$6,300,000",Seed,MHS Capital,https://www.geekwire.com/2022/startup-funding-news-inflection-io-xemelgo-joule-case-others-raise-fresh-cash/
Koidra,5/17/2022,"$4,500,000","$4,500,000",Seed,Ospraie Ag Science,https://www.geekwire.com/2022/startup-funding-news-inflection-io-xemelgo-joule-case-others-raise-fresh-cash/
Xemelgo,5/17/2022,"$4,200,000","$5,500,000",,FUSE,https://www.geekwire.com/2022/startup-funding-news-inflection-io-xemelgo-joule-case-others-raise-fresh-cash/
Joule Case,5/17/2022,"$1,100,000",,,,https://www.geekwire.com/2022/startup-funding-news-inflection-io-xemelgo-joule-case-others-raise-fresh-cash/
GemmaQ,5/17/2022,"$400,000","$400,000",,Crowberry Capital,https://www.geekwire.com/2022/startup-funding-news-inflection-io-xemelgo-joule-case-others-raise-fresh-cash/
The 2050 Company,5/17/2022,"$23,000",,,,https://www.geekwire.com/2022/startup-funding-news-inflection-io-xemelgo-joule-case-others-raise-fresh-cash/
TimeXtender,5/17/2022,,,,,https://www.geekwire.com/2022/startup-funding-news-inflection-io-xemelgo-joule-case-others-raise-fresh-cash/
Tignis,5/12/2022,"$7,200,000",,Series A,DN Capital,https://www.geekwire.com/2022/seattle-startup-tignis-raises-7-2m-to-fuel-use-of-ai-process-control-in-semiconductor-manufacturing/
Penny AI,6/1/2022,"$27,000,000",,Series B,PSG,https://www.vantechjournal.com/p/penny-ai-series-b?s=w
Chainguard ,6/2/2022,"$50,000,000",,Series A,Sequoia Capital,https://www.geekwire.com/2022/founded-less-than-a-year-ago-security-startup-chainguard-lands-50m/
Peer,7/8/2022,"$14,000,000",,,,https://www.geekwire.com/2022/seattle-startup-raises-14m-to-fuel-ambitious-plan-for-a-social-network-built-on-the-blockchain/
Coding Dojo,6/30/2022,"$10,000,000",,,Eastward Capital Partners,https://www.geekwire.com/2022/developer-bootcamp-coding-dojo-lands-10m-to-train-more-software-engineers/
Rollzi,6/30/2022,"$8,000,000","$8,000,000",Seed,,https://www.geekwire.com/2022/former-convoy-director-leads-new-seattle-trucking-startup-that-just-raised-8m/
Slate Dental,6/30/2022,"$600,000",,,Spokane Angel Alliance,
Strive,6/29/2022,"$6,000,000","$10,500,000",Series A,Future Communities Capital,https://www.geekwire.com/2022/seattle-wearable-tech-startup-backed-by-nfl-star-and-heisman-trophy-winner-raises-6m/
Jyst,6/29/2022,,"$500,000",,,
Atomo,6/28/2022,"$40,000,000","$51,500,000",Series A,S2G Ventures,https://www.geekwire.com/2022/seattle-beanless-coffee-brewer-atomo-raises-40m-and-begins-selling-its-sustainable-brews-online/
Canada Drives,6/27/2022,"$31,076,000",,,Goeasy,
Alchemon,6/23/2022,"$1,000,000","$1,000,000",,Borderless Capital,
Zap Energy,6/22/2022,"$160,000,000","$200,000,000",,Lowercarbon Capital,https://www.geekwire.com/2022/more-funding-for-fusion-seattle-startup-lands-160m-and-reveals-technology-breakthrough/
mpathic,6/21/2022,"$4,000,000","$5,200,000",Seed,Next Frontier Capital,https://www.geekwire.com/2022/check-your-empathy-this-startup-raised-4m-for-software-that-analyzes-workplace-communication/
Loopie Laundry,6/15/2022,"$1,000,000",,,Jason Calacanis,https://www.geekwire.com/2022/early-uber-investor-jason-calacanis-joins-the-fold-at-loopie-laundry-by-backing-peer-to-peer-startup/
Echodyne,6/13/2022,"$135,000,000","$195,000,000",Series C,Bill Gates and Baillie Gifford,https://www.geekwire.com/2022/echodyne-radar-venture-flies-higher-with-135m-funding-round-led-by-bill-gates-and-baillie-gifford/
Submittable,6/13/2022,"$47,000,000","$66,000,000",Series C,Accel-KKR,https://www.geekwire.com/2022/from-hippies-to-heavy-hitters-this-social-good-platform-bolstered-its-c-suite-raised-47m/
Bttn,6/13/2022,"$20,000,000","$26,500,000",Series A,Tiger Global,https://www.geekwire.com/2022/tiger-global-leads-20m-funding-round-for-seattle-based-medical-supply-startup/
Uplevel,7/13/2022,"$20,000,000","$34,000,000",,Cota Capital,https://www.geekwire.com/2022/uplevel-a-seattle-startup-that-measures-engineer-productivity-raises-20m/
Vimazi,7/18/2022,"$1,000,000","$2,600,000",Seed 3,,
SafeDigit,7/18/2022,"$1,200,000",,Pre-seed,Ascend.vc,
Homemade,6/10/2024,"$1,500,000",,,,https://www.geekwire.com/2024/seattle-cooking-startup-raising-more-cash-to-help-fuel-culinary-medicine-vision/
Tektonic AI,6/6/2024,"$10,000,000","$10,000,000",Seed,"Madrona, Point72 Ventures",https://www.geekwire.com/2024/ai-startup-lands-10m-seed-round-from-madrona-point72-ventures-to-automate-complex-workflows/
Vilya,6/4/2024,"$21,000,000",,Series A,,https://www.geekwire.com/2024/nvidia-and-top-vc-firms-invest-in-vilya-a-biotech-spinout-from-seattles-institute-for-protein-design/
TraceAir,5/29/2024,"$25,000,000",,Series B,PeakSpan Capital,https://www.geekwire.com/2024/traceair-a-construction-software-startup-targeting-land-development-projects-raises-25m/
Averlon,5/23/2024,"$8,000,000","$10,500,000",Seed,Voyager Capital,https://www.geekwire.com/2024/salesforce-microsoft-vets-raise-8m-for-new-ai-cybersecurity-startup/
Alongside,8/24/2022,"$5,500,000",,Seed,Trilogy Ventures,https://www.geekwire.com/2022/seattle-mental-health-startup-alongside-raises-5-5m-aims-to-test-app-with-schools/
Yesler,8/23/2022,"$5,000,000","$10,200,000",,Crosslink Capital,https://www.geekwire.com/2022/expedia-and-weyerhauser-vets-land-5m-for-seattle-based-lumber-marketplace-yesler/?utm_source=GeekWire+Newsletters&utm_campaign=5ea3c7cbbe-daily-digest-email&utm_medium=email&utm_term=0_4e93fc7dfd-5ea3c7cbbe-234265589&mc_cid=5ea3c7cbbe&mc_eid=5149398d2d
Sofy,8/18/2022,"$7,750,000","$9,600,000",,Voyager Capital,https://www.geekwire.com/2022/microsoft-engineering-vets-raise-7-75m-for-mobile-app-testing-startup/
TerraPower,8/15/2022,"$750,000,000",,,"Bill Gates, SK Inc., and SK Innovation",https://www.geekwire.com/2022/nuclear-energy-company-co-founded-by-bill-gates-raises-750m-one-of-the-largest-rounds-in-seattle-tech-history/
Monod Bio,8/15/2022,"$25,000,000",,Seed,Matrix Capital,https://www.geekwire.com/2022/institute-for-protein-design-spinout-monod-bio-raises-25m-for-molecular-biosensors/
SEngine Precision Medicine ,8/10/2022,"$10,000,000","$19,000,000",,Washington Research Foundation,https://www.geekwire.com/2022/fred-hutch-spinout-lands-10m-for-precision-test-to-guide-cancer-treatment-develop-drugs/
Marble,8/10/2022,"$2,000,000",,,,https://www.geekwire.com/2022/ex-adobe-and-facebook-engineers-raise-2m-for-seattle-software-startup-that-helps-small-landlords/
RISC Zero,8/9/2022,"$12,000,000","$14,000,000",Seed,Bain Capital Crypto,
Sella,8/9/2022,"$3,000,000",,,Flying Fish ,https://www.geekwire.com/2022/sella-which-uses-gig-workers-to-promote-and-resell-unwanted-items-raises-3m/
Yoodli,8/8/2022,"$6,000,000","$7,100,000",Seed,Madrona Venture Group and Cercano Management,https://www.geekwire.com/2022/seattle-ai-startup-that-helps-professionals-improve-public-speaking-by-analyzing-speech-raises-6m/
Ozette,7/28/2022,"$26,000,000",,Series A,Madrona ,https://www.geekwire.com/2022/madrona-backed-biotech-startup-ozette-lands-26-million-for-immune-cell-tech/
Gordian Software,7/19/2022,"$25,000,000","$33,000,000",,Accomplice and Vinyl,https://www.geekwire.com/2022/startup-building-software-that-helps-airlines-upsell-customers-raises-25m/
Strac,7/19/2022,"$3,500,000",,Seed,FUSE,https://www.geekwire.com/2022/seattle-area-cybersecurity-startup-led-by-former-principal-engineer-lands-3-5m/
Powin,7/18/2022,"$135,000,000",,,GIC,https://www.geekwire.com/2022/oregon-energy-storage-company-powin-lands-135m-investment-to-fuel-growth-globally/?utm_source=GeekWire+Newsletters&utm_campaign=f0a593abf1-daily-digest-email&utm_medium=email&utm_term=0_4e93fc7dfd-f0a593abf1-234265589&mc_cid=f0a593abf1&mc_eid=5149398d2d
Somalytics,8/30/2022,"$1,900,000",,Seed,IP Group,https://www.geekwire.com/2022/univ-of-washington-spinout-somalytics-raises-1-9m/
Falkon,9/1/2022,"$16,000,000","$20,000,000",,OMERS Ventures,https://www.geekwire.com/2022/seattle-startup-falkon-which-uses-ai-to-drive-sales-and-marketing-decisions-raises-16m/
Arzeda,3/31/2022,"$33,000,000",,Series B,Conti Ventures,https://www.geekwire.com/2022/funding-news-enzyme-design-startup-lands-33m-addiction-recovery-company-raises-3m/
WEconnect Health Management,3/31/2022,"$3,000,000","$30,100,000",,Fred Luddy,https://www.geekwire.com/2022/funding-news-enzyme-design-startup-lands-33m-addiction-recovery-company-raises-3m/
Teal,3/29/2022,"$10,800,000","$20,000,000",Series A,StageDotO Ventures,https://www.geekwire.com/2022/seattle-area-iot-startup-teal-lands-10-8m/
Outgo,3/24/2022,"$3,400,000",,,Neo ,https://www.geekwire.com/2022/uber-convoy-vets-raise-3-4m-for-new-banking-startup-that-helps-freight-carriers/
Tomo,3/21/2022,"$40,000,000",,Series A,SVB Capital ,https://www.geekwire.com/2022/tomo-a-paypal-for-the-mortgage-industry-fintech-startup-lands-40m-at-640m-valuation/
Cascade,3/21/2022,"$29,000,000","$34,000,000",Series A,Telescope Partners ,https://www.businesswire.com/news/home/20220321005385/en/Cascade-Raises-29-Million-Series-A-to-Get-Strategy-Out-of-Boardrooms
Headset,3/21/2022,"$11,500,000","$29,500,000",,,https://www.geekwire.com/2020/headset-raises-3-2m-grow-marijuana-data-platform-cannabis-sales-surge-amid-pandemic/
Shobitam,3/17/2022,"$1,500,000","$1,500,000",Seed,Hearth Ventures ,https://www.geekwire.com/2022/seattle-sisters-lead-fast-growing-e-commerce-startup-selling-ethnic-fashion-products-worldwide/
IUNU,3/16/2022,"$24,000,000","$60,000,000",Series B,Lewis & Clark AgriFood,https://www.geekwire.com/2022/iunu-a-seattle-startup-that-develops-computer-vision-tech-for-greenhouses-raises-24m/
Doxo,3/16/2022,"$18,500,000","$43,750,000",Series C,Jackson Square Ventures ,https://www.geekwire.com/2022/bill-pay-software-startup-doxo-lands-18-5m/
Pallet,3/16/2022,"$15,000,000","$18,600,000",Series A,"DBL Partners, Citi",https://www.geekwire.com/2022/startup-tackling-homelessness-with-easily-erected-durable-shelters-lands-15m/
Retrocausal,3/16/2022,"$3,400,000","$4,500,000",Seed,"Glasswing Ventures, Differential Ventures",https://www.geekwire.com/2022/seattle-computer-vision-startup-led-by-former-hololens-scientist-lands-3-4m/
Radious,3/16/2022,"$265,000","$325,000",,"Portland Seed Fund, OTBC’s Westside Startup Fund 7",https://www.geekwire.com/2022/remote-possibilities-this-startup-is-building-an-airbnb-style-platform-for-home-office-rentals/
Kymeta Corp,3/15/2022,"$84,000,000","$524,870,000",,Bill Gates ,https://www.geekwire.com/2022/startup-funding-news-pairtree-rightbound-loantuitive-crelate-raise-fresh-cash/
RightBound,3/15/2022,"$15,500,000","$27,000,000",Series A ,Innovation Endeavors,https://www.geekwire.com/2022/startup-funding-news-pairtree-rightbound-loantuitive-crelate-raise-fresh-cash/
Receptor Life Sciences,4/7/2022,"$9,700,000",,,Granite Point Capital,https://www.geekwire.com/2022/seattle-startup-raises-9-7m-for-clinical-trial-to-test-inhaled-cbd-as-anxiety-treatment/
Wavy,4/12/2022,,,Seed,Laconia Capital,https://www.geekwire.com/2022/funding-news-former-amazon-vp-raises-3m-for-beauty-shopping-startup-tagboard-lands-more-cash/
